id;product_id;product_name;price;stock_quantity;category_id
1;17774;trapezoid cultivar tangerine;20295.36;28019;10888
2;17469;yet jaggedly enraged;1404.41;20170;13029
3;23705;times far;18476.94;12593;29812
4;4850;whose item international;11458.04;15693;15369
5;14656;contractor lest;14065.81;28962;7065
6;21158;boggle;16521.74;1907;20322
7;23575;psst digital till;318.87;2264;21163
8;15315;ghostwrite regulate;4137.14;30615;17746
9;15874;grubby;20950.51;16490;18566
10;15275;rectangle;973.22;9886;26488
